#LIBRARY    ENDF/B-VII.1
#REACTION   N-14(N,P)C-14,SIG
#NUCLEUS    N-14
#MF         3
#MT         103
#E,eV        Sig,b        Interpolation
 2.232E+06   0.071763     Lin-Lin
 2.234E+06   0.070324     Lin-Lin
 2.236E+06   0.068627     Lin-Lin
 2.238E+06   0.066729     Lin-Lin
 2.24E+06    0.064684     Lin-Lin
 2.242E+06   0.062542     Lin-Lin
 2.244E+06   0.060347     Lin-Lin
 2.246E+06   0.058138     Lin-Lin
 2.248E+06   0.055943     Lin-Lin
 2.25E+06    0.053789     Lin-Lin
 2.26E+06    0.04411      Lin-Lin
 2.27E+06    0.036618     Lin-Lin
 2.28E+06    0.031053     Lin-Lin
 2.29E+06    0.026928     Lin-Lin
 2.3E+06     0.023831     Lin-Lin
 2.31E+06    0.021462     Lin-Lin
 2.32E+06    0.019615     Lin-Lin
 2.33E+06    0.018149     Lin-Lin
 2.34E+06    0.016966     Lin-Lin
 2.35E+06    0.015996     Lin-Lin
 2.36E+06    0.015191     Lin-Lin
 2.37E+06    0.014515     Lin-Lin
 2.38E+06    0.013943     Lin-Lin
 2.39E+06    0.013454     Lin-Lin
 2.4E+06     0.013033     Lin-Lin
 2.42E+06    0.012984     Lin-Lin
 2.44E+06    0.0136333    Lin-Lin
 2.46E+06    0.0145698    Lin-Lin
 2.495E+06   0.0162859    Lin-Lin
 2.505E+06   0.0168087    Lin-Lin
 2.506E+06   0.0168617    Lin-Lin
 2.508E+06   0.0169682    Lin-Lin
 2.51E+06    0.0170753    Lin-Lin
 2.5105E+06  0.0171021    Lin-Lin
 2.5115E+06  0.0171559    Lin-Lin
 2.513E+06   0.0172369    Lin-Lin
 2.5145E+06  0.0173182    Lin-Lin
 2.52E+06    0.0176193    Lin-Lin
 2.54E+06    0.0187533    Lin-Lin
 2.58E+06    0.0212526    Lin-Lin
 2.63E+06    0.0292731    Lin-Lin
 2.65E+06    0.0372702    Lin-Lin
 2.67E+06    0.0496606    Lin-Lin
 2.69E+06    0.0671553    Lin-Lin
 2.7E+06     0.0784975    Lin-Lin
 2.71E+06    0.0921713    Lin-Lin
 2.716E+06   0.101197     Lin-Lin
 2.72E+06    0.107395     Lin-Lin
 2.73E+06    0.120148     Lin-Lin
 2.735E+06   0.12424      Lin-Lin
 2.74E+06    0.126351     Lin-Lin
 2.75E+06    0.122643     Lin-Lin
 2.76E+06    0.113513     Lin-Lin
 2.77E+06    0.0989247    Lin-Lin
 2.78E+06    0.083453     Lin-Lin
 2.79E+06    0.0677956    Lin-Lin
 2.8E+06     0.0547298    Lin-Lin
 2.82E+06    0.0400205    Lin-Lin
 2.84E+06    0.0330321    Lin-Lin
 2.86E+06    0.0290507    Lin-Lin
 2.88E+06    0.0268766    Lin-Lin
 2.892E+06   0.0264442    Lin-Lin
 2.9E+06     0.0267715    Lin-Lin
 2.925E+06   0.0292549    Lin-Lin
 2.942E+06   0.0330311    Lin-Lin
 2.948E+06   0.0358201    Lin-Lin
 2.952E+06   0.0381403    Lin-Lin
 2.957E+06   0.0422038    Lin-Lin
 2.96E+06    0.050298     Lin-Lin
 2.966E+06   0.037932     Lin-Lin
 2.97E+06    0.0344803    Lin-Lin
 2.98E+06    0.034528     Lin-Lin
 3E+06       0.0308467    Lin-Lin
 3.02E+06    0.0303877    Lin-Lin
 3.06E+06    0.0299975    Lin-Lin
 3.09E+06    0.0301567    Lin-Lin
 3.12E+06    0.0305958    Lin-Lin
 3.18E+06    0.0328764    Lin-Lin
 3.21E+06    0.0340732    Lin-Lin
 3.28E+06    0.0368992    Lin-Lin
 3.42E+06    0.0520591    Lin-Lin
 3.46E+06    0.0634337    Lin-Lin
 3.485E+06   0.073395     Lin-Lin
 3.495E+06   0.0763417    Lin-Lin
 3.508E+06   0.0803007    Lin-Lin
 3.514E+06   0.0818172    Lin-Lin
 3.524E+06   0.082891     Lin-Lin
 3.53E+06    0.0826018    Lin-Lin
 3.54E+06    0.0816976    Lin-Lin
 3.552E+06   0.0804331    Lin-Lin
 3.556E+06   0.0799714    Lin-Lin
 3.56E+06    0.0794973    Lin-Lin
 3.564E+06   0.0790336    Lin-Lin
 3.568E+06   0.0786021    Lin-Lin
 3.57E+06    0.0784052    Lin-Lin
 3.578E+06   0.0783156    Lin-Lin
 3.58E+06    0.07855      Lin-Lin
 3.585E+06   0.0793851    Lin-Lin
 3.59E+06    0.080313     Lin-Lin
 3.6E+06     0.081107     Lin-Lin
 3.61E+06    0.0802446    Lin-Lin
 3.62E+06    0.07865      Lin-Lin
 3.63E+06    0.0767596    Lin-Lin
 3.64E+06    0.0734672    Lin-Lin
 3.65E+06    0.0691478    Lin-Lin
 3.66E+06    0.0651297    Lin-Lin
 3.67E+06    0.0624545    Lin-Lin
 3.68E+06    0.0620075    Lin-Lin
 3.69E+06    0.0635429    Lin-Lin
 3.7E+06     0.0661753    Lin-Lin
 3.71E+06    0.069495     Lin-Lin
 3.72E+06    0.0730323    Lin-Lin
 3.73E+06    0.0762273    Lin-Lin
 3.74E+06    0.0785869    Lin-Lin
 3.75E+06    0.0808529    Lin-Lin
 3.8E+06     0.0919712    Lin-Lin
 3.82E+06    0.0955263    Lin-Lin
 3.84E+06    0.0990741    Lin-Lin
 3.86E+06    0.102633     Lin-Lin
 3.88E+06    0.106223     Lin-Lin
 3.9E+06     0.109859     Lin-Lin
 3.92E+06    0.113452     Lin-Lin
 3.94E+06    0.116819     Lin-Lin
 3.96E+06    0.119646     Lin-Lin
 3.98E+06    0.121175     Lin-Lin
 4E+06       0.121488     Lin-Lin
 4.02E+06    0.120834     Lin-Lin
 4.04E+06    0.119482     Lin-Lin
 4.05E+06    0.118663     Lin-Lin
 4.06E+06    0.117811     Lin-Lin
 4.08E+06    0.116008     Lin-Lin
 4.1E+06     0.11408      Lin-Lin
 4.12E+06    0.112029     Lin-Lin
 4.14E+06    0.109843     Lin-Lin
 4.15E+06    0.10868      Lin-Lin
 4.16E+06    0.107491     Lin-Lin
 4.18E+06    0.105103     Lin-Lin
 4.2E+06     0.102809     Lin-Lin
 4.25E+06    0.0989533    Lin-Lin
 4.3E+06     0.0971166    Lin-Lin
 4.35E+06    0.0896384    Lin-Lin
 4.4E+06     0.071454     Lin-Lin
 4.45E+06    0.0604968    Lin-Lin
 4.5E+06     0.0572625    Lin-Lin
 4.55E+06    0.0620574    Lin-Lin
 4.6E+06     0.0546642    Lin-Lin
 4.65E+06    0.0449568    Lin-Lin
 4.7E+06     0.0338732    Lin-Lin
 4.735E+06   0.0463       Lin-Lin
 4.75E+06    0.0422455    Lin-Lin
 4.8E+06     0.0323702    Lin-Lin
 4.85E+06    0.0289313    Lin-Lin
 4.9E+06     0.0283401    Lin-Lin
 4.95E+06    0.0288454    Lin-Lin
